date,eventName,eventTitle,eventUrl,location
12/17/2021,SFNA,SFN Afghanistan 6,https://www.sherdog.com/events/SFNA-SFN-Afghanistan-6-91697,-Mahbas Kohna; Balkh; Afghanistan-
12/17/2021,SteelFist Fight Night,Deck The Halls,https://www.sherdog.com/events/SteelFist-Fight-Night-Deck-The-Halls-91498,-Union Event Center; Salt Lake City; Utah; United States-
12/17/2021,559 Fights,559 Fights 83,https://www.sherdog.com/events/559-Fights-559-Fights-83-91465,-Visalia Convention Center; Visalia; California; United States-
12/17/2021,GFC 3,Gamebred Fighting Championship 3,https://www.sherdog.com/events/GFC-3-Gamebred-Fighting-Championship-3-91456,-Biloxi Community Center; Biloxi; Mississippi; United States-
12/17/2021,Ignite Fights,Brawl at Bourbon Street 2,https://www.sherdog.com/events/Ignite-Fights-Brawl-at-Bourbon-Street-2-91414,-115 Bourbon Street; Merrionette Park; Illinois; United States-
12/17/2021,UFN 27,Urban Fight Night 27,https://www.sherdog.com/events/UFN-27-Urban-Fight-Night-27-91413,-Bankstown City Paceway; Bankstown; New South Wales; Australia-
12/17/2021,CLIP,Motor City Cagefights 9,https://www.sherdog.com/events/CLIP-Motor-City-Cagefights-9-91337,-Motor City Casino; Detroit; Michigan; United States-
12/17/2021,ACA 134,Absolute Championship Akhmat: Bagov vs. Koshkin,https://www.sherdog.com/events/ACA-134-Absolute-Championship-Akhmat-Bagov-vs-Koshkin-91324,-Basket-Hall; Krasnodar; Russia-
12/17/2021,Tru Rev MMA,True Revelation MMA 45,https://www.sherdog.com/events/Tru-Rev-MMA-True-Revelation-MMA-45-91209,-Bridge View Center Ottumwa; Iowa; United States-
12/17/2021,Titan FC 73,Taylor vs. Edwards,https://www.sherdog.com/events/Titan-FC-73-Taylor-vs-Edwards-91208,-Miami; Florida; United States-
12/17/2021,CFFC 104,Cage Fury Fighting Championships 104,https://www.sherdog.com/events/CFFC-104-Cage-Fury-Fighting-Championships-104-90932,-Hard Rock Hotel & Casino; Atlantic City; New Jersey; United States-
12/17/2021,Unified MMA 42,Unified MMA,https://www.sherdog.com/events/Unified-MMA-42-Unified-MMA-90299,-River Cree Resort and Casino; Enoch; Alberta; Canada-
12/17/2021,Acinaces 1,Acinaces Fighting Championship 1,https://www.sherdog.com/events/Acinaces-1-Acinaces-Fighting-Championship-1-88051,-Pakdasht; Tehran; Iran-
12/16/2021,HFL 6,High Fight League 6,https://www.sherdog.com/events/HFL-6-High-Fight-League-6-91464,-National Fair Durango; Durango; Durango; Mexico-
12/16/2021,MFC 2,Mergen Fighting Championship 2,https://www.sherdog.com/events/MFC-2-Mergen-Fighting-Championship-2-91207,-CSC Jaiyk; Atyrau; Kazakhstan-
