date,eventName,eventTitle,location
09/05/2021,Fury FC 50,Fury Fighting Championship 50,"""Bayou City Event Center; Houston; Texas; United States"""
09/04/2021,Deep,Jewels 34,"""Shinjuku Face; Tokyo; Japan"""
09/04/2021,Deep Jewels,Amateur Fight,"""Shinjuku Face; Tokyo; Japan"""
09/04/2021,Tai Sei MMA 1,Grand Prix Tai Sei,"""Club Cafam; Melgar; Tolima; Colombia."""
09/04/2021,Sparta MMA 1,Fight Night,"""Sports Hall; Steszew; Poland"""
09/04/2021,BFF,Breu Branco Fight 7,"""Gynasium School Gonçalo Vieira; Breu Branco; Para; Brazil"""
09/04/2021,Iron Road Promotions,Fight Road 6,"""Udarnik Arena; Moscow; Russia"""
09/04/2021,OCAMM-UFC Bogota,Campeonato Interclubes,"""Avenida 1 de Mayo 35 a 21; Bogota; Colombia"""
09/04/2021,WWFC,Road to WWFC 28: Yuzhnyi Fight Cup,"""Palace of Sport OLIMP; Yuzhnyi; Odesa; Ukraine"""
09/04/2021,OC,Orixi Combat 6,"""Ginásio Municipal Guilherme Guerreiro; Oriximina; Para; Brazil"""
09/04/2021,IFMMA,International Fighting MMA 17,"""Santa Cruz; Bolivia"""
09/04/2021,Acesso Show,The Dog Tower FC 3,"""Casa Verde; Sao Paulo; Sao Paulo; Brazil"""
09/04/2021,EFC Global,EFC Global 16,"""Chatkal; Kyzyl Tokoy; Kyrgyzstan"""
09/04/2021,EFC 40,Eagle Fighting Championship 40,"""Sport Complex Jubilee; Almetyevsk; Russia"""
09/04/2021,Iron Fist Gym Vienna,Vendetta 22,"""Autohaus Josef Kamper GmbH; Josef Kamper Street; 7100 Neusiedl am See; Austria"""
09/04/2021,Hombres De Honor 107,Contact Murcia,"""Pabellon Deportivo de Salesianos; Cabezo de Torres; Spain"""
09/04/2021,UAE Warriors,UAE Warriors 22,"""Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates"""
09/04/2021,Grachan,Grachan 50,"""Makuhari Bay Park Arena; Chiba; Japan"""
09/04/2021,SW 6,Supreme Warrior 6,"""Buenos Aires; Argentina"""
09/04/2021,Fighting Force Promotions,Amateur Force 3,"""Club Libanes Sirio Palestino; Santo Domingo; Dominican Republic"""
09/04/2021,MMA Series 39,Emir FC Global 7,"""Concert Hall; Moscow; Russia"""
09/04/2021,FCR 9,Fight Club Rush 9,"""Bombardier Arena; Vasteras; Sweden"""
09/04/2021,EFS 1,Endouro Fight Series 1,"""Hellenic Club of Canberra; Phillip; Canberra; Australia"""
09/04/2021,Aleksey Raevskiy Promotion,KPF: Kingdom Professional Fight Selection 6,"""Hotel Azimut lermontovsky; St. Petersburg; Russia"""
09/04/2021,BFS 4,Brazilian Fighting Series 4,"""Full House Gym; Belo Horizonte; Minas Gerais; Brazil"""
09/04/2021,KSW 63,Crime Of The Century,"""ATM Studio; Warsaw; Poland"""
09/04/2021,Glory 78,Badr vs. Wrzosek,"""Ahoy Rotterdam; Rotterdam; Netherlands"""
09/04/2021,UFC Fight Night 191,Brunson vs. Till,"""UFC Apex; Las Vegas; Nevada; United States"""
09/04/2021,DFC 12,Diamondback Fighting Championship 12: Fireworks,"""North Adelaide; Adelaide; South Australia; Australia"""
09/04/2021,BFF,Beast Championship 8: King Of The South,"""Logan Metro Sports Centre; Crestmead; Queensland; Australia"""
09/04/2021,RLF,Road to Legacy of Fighters 2,"""Salon Petroquimicos Jiutepec; Cuernavaca; Morelos; Mexico"""
09/04/2021,Time to Shine,Time to Rise 4,"""Theater Spirgarten; Zurich; Switzerland"""
09/04/2021,Road FC 59,Road Fighting Championship 59,"""Wonju Gymnasium; Wonju; Gangwon; South Korea"""
09/03/2021,LMI 8,Lutador MMA Invictus 8,"""Girasoles; Coyoacan; Mexico City; Mexico"""
09/03/2021,ECE,Enfusion Cage Events 6,"""Studio Edition; Alkmaar; Noord-Holland; The Netherlands"""
09/03/2021,Double G FC 9,Double G Fighting Championship,"""Inter Burgo Exco Hotel; Daegu; South Korea"""
09/03/2021,VFC 87,Valor Fighting Challenge 87,"""Cotton Eyed Joe; Knoxville; Tennessee; United States"""
09/03/2021,Fight Empire MMA 1,Enter of the Dragon,"""Radom; Poland"""
09/03/2021,Combate Global,Cordero vs. Bandejas,"""Univision Studios; Miami; Florida; United States"""
09/03/2021,UAE Warriors,UAE Warriors 21: Arabia 4,"""Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates"""
09/03/2021,SMMA 21,Showcase MMA 21,"""Meadowview Convention Center; Kingsport; Tennessee; United States"""
09/03/2021,OFC 128,Omaha Fight Club,"""CHI Health Center Arena Parking Lot D; Omaha; Nebraska; United States"""
09/03/2021,One Championship,Empower,"""Singapore Indoor Stadium; Kallang; Singapore"""
09/02/2021,SFT,Standout Fighting Tournament 29: Nogueira vs. Santos,"""Sao Paulo; Sao Paulo; Brazil"""
09/02/2021,Revelation FC,Revelation Fighting Championship 7: Exclusive,"""Acai Biruta; Belem; Para; Brazil"""
08/31/2021,AFT,AFT 30,"""Espaço Religião da Luta; Curitiba; PR; Brazil."""
08/31/2021,Dana White's Contender Series,Contender Series 2021: Week 1,"""UFC Apex; Las Vegas; Nevada; United States"""
08/30/2021,RXF 40,Real Xtreme Fighting,"""Romania"""
08/29/2021,LDH Martial Arts,ExFight 1,"""ExFight; Shibuya; Tokyo; Japan"""
08/29/2021,RFL 2,Rhyno Fight League 2,"""San Marcos; Guatemala"""
08/29/2021,YouFC 6,To Ram!,"""Fight Zone; St. Petersburg; Russia"""
08/29/2021,WWFC,Road to WWFC: Alexeevskie Cup,"""Sport Casa Cultura; Strasheni; Moldova"""
08/29/2021,AMA 3,Altitude Martial Arts 3,"""Club de Tiros #17 Miguel de San Roman; Juliaca; Peru"""
08/29/2021,Colosseum MMA,Battle of the Champions 23,"""Moscow; Russia"""
08/29/2021,RUF MMA 43,Road to One: The Quarterfinals,"""Celebrity Theatre; Phoenix; Arizona; United States"""
08/29/2021,WEF 109,Selection 37,"""Ivan Yarygin Fight Palace; Moscow; Russia"""
08/29/2021,Showtime PPV,Paul vs. Woodley,"""Rocket Mortgage FieldHouse; Cleveland; Ohio; United States"""
08/29/2021,Fury FC 49,Fury Fighting Championship 49,"""Cowboys Dancehall; San Antonio; Texas; United States"""
08/29/2021,SFL 54,Siberian Fighting League 54: Battle 6 Summer Series Final,"""Loft Park Podzemka; Novosibirsk; Russia"""
